class,FID,KID_mean,KID_std,MMD_RBF,Sliced_Wasserstein,KL_Gauss
face,295.53193385982274,0.17910155057907104,0.013375356032529252,0.19564759731292725,0.5601523356241352,20256357.77760412
fan,121.10283257297826,0.021159868240356445,0.007103538975040754,0.020252346992492676,0.3193757545413705,18587789.17702344
feather,116.47307921759483,0.03223699569702149,0.009829646973289833,0.03884166479110718,0.2155641515934322,20986557.117281437
fence,207.40662809323084,0.08220752716064453,0.00829501414460283,0.09000122547149658,0.3864647629456499,19130731.457127757
finger,221.11145024088654,0.08059793472290039,0.010612953362956177,0.07830780744552612,0.4277435693311097,18932359.30142152
fire_hydrant,181.36294208392198,0.06869263172149659,0.009033051214223762,0.07435363531112671,0.3628016348292679,21067696.18131367
fireplace,166.62412484015525,0.06856769561767578,0.010579700177611024,0.08540403842926025,0.38621499047896235,19969729.23755628
firetruck,112.17893632010974,0.04132459163665771,0.010901825797807668,0.05555504560470581,0.28146375243686755,14870339.341165949
fish,253.62276435024995,0.1461477756500244,0.009258183635086629,0.19203531742095947,0.33516298609640616,32261144.44315964
flamingo,140.6028311176362,0.0827357816696167,0.013547590136837179,0.12172144651412964,0.22811956066199612,19363498.554585002
flashlight,158.04610581007645,0.06757052183151245,0.007570704127520859,0.08409035205841064,0.23509683795243402,29379107.431774378
flip_flops,161.30951067568597,0.0711628794670105,0.010891995589302268,0.08750587701797485,0.3198494974700473,19946581.927737523
floor_lamp,115.31714893530705,0.016111068725585938,0.003218902115209432,0.020489931106567383,0.13929208000211843,30580647.949460518
flower,208.51860813480715,0.11760708093643188,0.009741286270431472,0.14578241109848022,0.19808297412156647,33572598.61962134
flying_saucer,158.0201316084892,0.04707892179489136,0.0074266031227385385,0.04409611225128174,0.22568785985040762,28392427.161301233
foot,256.65645855715957,0.08802088499069213,0.009355356122678248,0.08746904134750366,0.4972854198445478,25206857.529196274
fork,103.88479726785192,0.01556887149810791,0.0038555415362202675,0.02145850658416748,0.18922477109828162,23117359.3878597
frog,249.5400458702988,0.2112301468849182,0.018419618352922443,0.31732967495918274,0.34296870211266817,20897347.111863714
frying_pan,176.82185547642374,0.120648934841156,0.0187749786883547,0.14994698762893677,0.2581356703233168,29839693.576768056
garden,277.1122277147042,0.13164087533950805,0.008673491438185051,0.14742475748062134,0.5579414578439157,18045133.74741126
garden_hose,194.1772125331642,0.048399319648742674,0.0065657885154560315,0.04694032669067383,0.4030780632823247,24852656.19707518
giraffe,209.9795315706479,0.1310723042488098,0.012269552337206165,0.18194401264190674,0.3503598809938359,23829347.284709338
goatee,259.8297161704968,0.1470845913887024,0.011959980994984194,0.1555919051170349,0.28990021120798926,36263066.10895313
golf_club,269.6715663943727,0.1595943331718445,0.00976005065505115,0.17467176914215088,0.3049145537846139,38709354.96282397
grapes,234.09437363782763,0.09394553184509277,0.010102733424959867,0.08890223503112793,0.5339822184859251,18324791.014675792
grass,236.00851326888017,0.10172620058059692,0.014550166743939497,0.1000792384147644,0.3513668004411895,39011715.988003254
guitar,88.30001801675895,0.025127549171447754,0.005834045079981756,0.03638690710067749,0.3045595290707508,10671044.715476377
hamburger,221.90210809662995,0.16498385906219482,0.021402122962747062,0.20018088817596436,0.30418165001832526,27365610.078183893
hammer,128.5596893864398,0.031198928356170653,0.005964261597631612,0.0402146577835083,0.26058232843664636,25362716.343945127
hand,246.06033311151174,0.08062211990356445,0.009556411462967056,0.07670563459396362,0.4896106187474527,19830910.380759668
harp,129.35123309108297,0.1428957176208496,0.03984568987716523,0.09946024417877197,0.26556767022978833,11242485.566754382
hat,254.2423586368921,0.1108673357963562,0.02586263826075878,0.07298189401626587,0.44434598540466713,26676693.90796171
headphones,139.98668244218467,0.04791535139083862,0.00584886056794788,0.057256877422332764,0.23659107249645836,25038568.55002427
hedgehog,243.87225848100945,0.18908488273620605,0.017237985327110107,0.2664278745651245,0.35922361067353603,27040695.9763597
helicopter,176.8169313904196,0.07630010604858399,0.010290616721037107,0.0999835729598999,0.38149113960876546,15847998.989054188
helmet,146.452346456552,0.05790113687515259,0.009202031407184837,0.08449417352676392,0.34168245703883937,16596934.093769934
hexagon,127.81691864127575,0.013253967761993408,0.003495689375705614,0.010925114154815674,0.3628229723082488,15287239.623942306
hockey_puck,145.14026575939678,0.04127385854721069,0.009561080603401093,0.040435075759887695,0.25310462420569857,25378554.149328478
hockey_stick,136.90214255254094,0.032787814140319824,0.006528213342829619,0.030715107917785645,0.3010950636098629,23274989.05873176
horse,205.44022066780713,0.1423114013671875,0.013950860019455967,0.20750755071640015,0.29219690651005886,23916894.772032622
hospital,292.58160745654476,0.13277392148971556,0.0141414073626973,0.11273854970932007,0.49898965794879274,21112745.396636367
hot_air_balloon,127.27692445355825,0.08678471565246582,0.01252986429970882,0.184858500957489,0.24471754480390706,11438997.041547704
hot_dog,353.1435436658033,0.25213366508483886,0.01762116379478089,0.2779613733291626,0.5403023881389815,31384617.27896513
hot_tub,287.1176240198814,0.2031523561477661,0.01692984362362054,0.19710570573806763,0.4391606872516451,24156882.313462824
hourglass,110.55348250596049,0.058927257061004636,0.010858193274306722,0.14277946949005127,0.20931077939908596,24120801.581584472
house,267.5322273386633,0.16490689754486085,0.011124340513102658,0.179521381855011,0.3597952766290375,40968258.20295213
house_plant,243.97430209847062,0.07149563550949097,0.00870892004707545,0.062153398990631104,0.6033143804293739,23707240.07754114
hurricane,320.1227111799873,0.1428239893913269,0.01069707045783205,0.1262127161026001,0.42760533786009497,49351159.261570126
ice_cream,254.19882825944185,0.1327854013442993,0.011913855881920135,0.12804317474365234,0.396151941850612,26605962.95475835
jacket,205.3427093366712,0.08755198478698731,0.007831840356970602,0.1121944785118103,0.3661770626951675,34262429.18658095
jail,273.3283608301565,0.09967350006103516,0.007693936599810497,0.09053343534469604,0.4948853684242733,28201499.536593083
kangaroo,253.64674142816398,0.18750455617904663,0.01091639741196898,0.28111332654953003,0.37381044447582285,23515098.13098438
key,164.24937682923786,0.02487445831298828,0.004206804132626957,0.021300077438354492,0.3663499129442569,27994195.4486545
keyboard,201.65434555675216,0.09088781356811523,0.011167037924548024,0.13293418288230896,0.465267363297188,25701939.953597467
knee,276.93417393437096,0.12770012140274048,0.006520775893660951,0.16239458322525024,0.590355970008331,23716984.781773806
knife,170.2270627141885,0.03201662302017212,0.004904635030234635,0.030178368091583252,0.5406236130491838,14576907.311638437
ladder,211.36703637835402,0.074443519115448,0.008163072904196865,0.08692926168441772,0.4224180743547219,32639297.56176948
lantern,251.22181287356892,0.11408860445022583,0.015372282398896398,0.11200368404388428,0.3553918035332523,27232318.390780296
laptop,173.2107714501272,0.05607440710067749,0.007386031785398518,0.07937294244766235,0.4343957611227873,26912118.209958903
leaf,363.17071954324456,0.12306673049926758,0.010919555052912311,0.09405237436294556,0.729389863091846,18043526.693073135
leg,244.65179723111794,0.09036956787109375,0.009115331216238268,0.10191971063613892,0.5011772974634615,22094202.23425074
light_bulb,305.3171046845515,0.1544568109512329,0.012151788853013297,0.14817237854003906,0.6341974026294543,36528520.47450162
lighter,232.37439439194242,0.09183369636535645,0.010286525375009452,0.08623576164245605,0.5120152951097062,24956094.962378174
lighthouse,188.52679580986091,0.09557537794113159,0.01229625797508039,0.14439475536346436,0.3522799791496688,21420419.506278906
lightning,281.53226837325303,0.1659142804145813,0.01181573274225244,0.18700188398361206,0.35142955821505434,39024354.48424643
line,391.06216866912746,0.14674242734909057,0.013615793028153484,0.10787785053253174,0.4944614836838019,95596624.45318542
lion,304.7281434548566,0.27707002401351927,0.014407590178977362,0.41243159770965576,0.4393098795678896,38040084.85616896
lipstick,210.59905995244668,0.10262827396392822,0.017656159293985393,0.12245792150497437,0.3649253559794085,34246144.19409263
lobster,218.21400331563956,0.15745388746261596,0.01541359300615578,0.22590291500091553,0.3057843638314542,25286281.881311405
lollipop,203.9723706456362,0.04462604284286499,0.005273145340186212,0.03924274444580078,0.5242363427034193,17534376.391668193
mailbox,350.22616912466873,0.24026877403259278,0.011988447734872697,0.2777509093284607,0.7016432068618117,25146907.87801142
map,220.32086993112267,0.06319933652877807,0.005475822337403672,0.06828445196151733,0.5428382273896545,20882581.576753452
marker,221.4668867784435,0.07007183313369751,0.007518745538593765,0.08018499612808228,0.43374072962027294,29086409.534747604
matches,237.70753501707793,0.06756530284881591,0.007170703497316265,0.06933844089508057,0.44988111108858025,39109116.78758821
megaphone,165.02828549539734,0.034813077449798585,0.006776102903528558,0.04171717166900635,0.4649547961955129,12293020.651571156
mermaid,183.9548761422524,0.07196620464324952,0.009092131784092197,0.08562690019607544,0.2709355703341173,24034649.676714074
microphone,169.41351668344598,0.06728100061416625,0.008807433204264033,0.07744312286376953,0.3524417554059736,22596252.356808964
microwave,317.4488278710164,0.22216741800308226,0.01838579525038327,0.23935982584953308,0.556720454386026,40893745.82132123
monkey,264.362042493679,0.2028144884109497,0.011084068251244038,0.2911909818649292,0.40261800564284184,21613337.419688262
moon,277.23186798887104,0.15554907083511352,0.009726342445424847,0.16190409660339355,0.44524207235040897,29442734.556757465
mosquito,217.7744660415642,0.13285922288894653,0.01124074302604821,0.21508637070655823,0.42812137287511215,21442728.509668924
motorbike,223.27475886502995,0.13453088760375975,0.012991577803079152,0.19053179025650024,0.4890113444271274,15786143.841379818
mountain,287.18463984706614,0.14461249828338624,0.011845545186507557,0.17538845539093018,0.49524929029911297,27237337.7975424
mouse,245.78901283331646,0.14430388927459717,0.016429158143269087,0.1809212565422058,0.27660410055250406,51633283.68064987
moustache,209.07702975143317,0.09079970359802246,0.011938783757504404,0.09227854013442993,0.2604693483892901,27329812.93054628
mouth,245.3005889046799,0.07446561098098754,0.009006429262712567,0.06504005193710327,0.42592338051092815,27365019.729832303
mug,158.60234988115923,0.08268340826034545,0.009713734542201168,0.1335512399673462,0.2856841864469882,23159356.356853087
mushroom,263.48761354647354,0.14262706756591798,0.010613243843408546,0.16399085521697998,0.4388648445942061,22612884.458728757
nail,336.15570405176186,0.14029730558395387,0.00861716987828774,0.13277322053909302,0.6071986098862611,31047984.16363022
necklace,162.0812220576056,0.04999222755432129,0.0076483539294981695,0.056262969970703125,0.4511827882557793,16038656.192367058
nose,308.2184653161383,0.12533555030822754,0.009330095839699898,0.11898332834243774,0.47357321835116567,46354349.00213505
ocean,281.9377685310933,0.12979332685470582,0.010039624835785766,0.14613968133926392,0.5315992030039391,30196618.216493726
octagon,291.32796825791627,0.06243943214416504,0.010159197727732506,0.0440637469291687,0.6463442446328412,19382758.552334704
octopus,200.01630864063202,0.10853666543960572,0.008739085131274178,0.13007330894470215,0.38779381452018313,15299461.73843234
onion,283.4728082454438,0.16429051876068115,0.010701171137578753,0.17820489406585693,0.4732261768459199,27612701.465723135
oven,396.4639496035897,0.2673107862472534,0.013600259865596888,0.23868265748023987,0.683355604931446,41658492.811008826
owl,299.07812855949066,0.24158257722854615,0.016507298802131386,0.28121617436408997,0.3913789375732952,23913739.054952607
paint_can,215.51700015271138,0.06151993751525879,0.007046070813680236,0.06506228446960449,0.5114829261366435,18976999.907012705
paintbrush,249.88978212688983,0.054530107975006105,0.007985724716053263,0.05023247003555298,0.5798644851003605,20216073.19274967
palm_tree,289.93151976143525,0.17888068199157714,0.02543889902520161,0.15290462970733643,0.4540117491765157,28070441.192130774
panda,258.3399247008282,0.18367133378982545,0.019852346184677377,0.24057650566101074,0.42405439082025537,21885920.304124467
pants,343.9544901852813,0.18862133264541625,0.012343741380732512,0.19954422116279602,0.5467540437065742,52629331.69191995
paper_clip,127.58493550929973,0.015995275974273682,0.0036670544860420034,0.015172779560089111,0.39333873952663556,10449714.319073536
parachute,164.30850712048937,0.06514936447143554,0.007474987503085125,0.08659601211547852,0.4434416744685822,14507288.921740439
parrot,216.83030830642917,0.1592165994644165,0.012764364377270692,0.26319971680641174,0.4029433142978394,15202541.603755532
passport,240.79517482303584,0.07189496040344238,0.00602098694885294,0.0689932107925415,0.6083994625833342,22603812.6772669
peanut,317.78296694013767,0.1792362427711487,0.010165963203348205,0.18681269884109497,0.46184176460190507,36838421.791680366
pear,261.53779245967,0.15032192707061767,0.012463363202737674,0.17390000820159912,0.4199715739148121,28529317.78938364
peas,330.0002912417222,0.18286152601242064,0.010040041673800647,0.1728782057762146,0.5254741628143158,30715494.53070778
pencil,296.87226188272075,0.13799060344696046,0.01077127507640849,0.13684135675430298,0.5357058740074762,31962887.408035576
penguin,237.00441168039316,0.16445332288742065,0.015453849489524175,0.2275800108909607,0.38985130743922897,18805439.270379163
piano,219.76947664675583,0.07724714517593384,0.012249766271737702,0.06976103782653809,0.6289930484765804,18796478.228375427
pickup_truck,165.7494938495758,0.09425739765167236,0.008477497180513481,0.15659040212631226,0.4025235685264497,15973572.066143895
picture_frame,188.34180329171994,0.040212092399597166,0.004992640947116145,0.0407223105430603,0.2730186597565,42856691.25576635
pig,219.54305369221157,0.1280892848968506,0.016131271298037684,0.16884958744049072,0.43985272438754186,16417449.59951538
pillow,192.01409187628084,0.06845067501068115,0.010636762408875827,0.07971721887588501,0.38221768417530033,24706863.896299634
pineapple,280.93347615283574,0.16931817770004273,0.017404099141025618,0.19663184881210327,0.5080388321777748,19174425.31112451
pizza,303.689087580249,0.21713976860046386,0.009353787059421753,0.27872076630592346,0.44443143762465687,36362497.38545274
pliers,204.86429698238902,0.0662969970703125,0.008753745858108196,0.06980621814727783,0.49634683285816333,26569973.937938236
police_car,149.7675890596458,0.06532539367675781,0.009381821157615086,0.09137994050979614,0.36897527417128323,14445502.409126218
pond,297.63435903980326,0.17449961900711058,0.009797444338217288,0.17884081602096558,0.4729334007877391,26823867.017139543
pool,274.3795546975624,0.16289600610733032,0.009805174915554288,0.16632479429244995,0.43700625075010496,25920278.93453558
popsicle,154.56661841858119,0.06126727819442749,0.010349993402753305,0.054834842681884766,0.28057485817405725,18909379.839157276
postcard,164.01328763988232,0.021877522468566894,0.005039872358368803,0.019133687019348145,0.46315322334570636,16346265.459333574
potato,339.18650397398596,0.2205919146537781,0.013037353767160498,0.2117958664894104,0.4747643094309249,31722229.581717316
power_outlet,256.06810552438617,0.06232766389846802,0.0063494345161175265,0.05192786455154419,0.6537129252815501,15629448.662284274
purse,268.0941597920998,0.10556271076202392,0.009927253911998198,0.12283498048782349,0.5291187025666992,29674734.10112954
rabbit,252.58468394943645,0.1853327226638794,0.01591471378332565,0.28801241517066956,0.4137394208941719,23043335.2551013
raccoon,261.9610095202553,0.20420156478881835,0.011443359848214704,0.3121697008609772,0.32456042021665554,32840880.319680285
radio,247.8821280652863,0.0835875153541565,0.00829319799632508,0.08284860849380493,0.5180906293177798,32743663.61051922
rain,362.4267571153059,0.14105896711349486,0.008423929189522299,0.117237389087677,0.44048710520782547,69659636.28482714
rainbow,226.45733790479056,0.07439074993133545,0.010015881150546233,0.07443362474441528,0.40549658607709216,29626101.328062396
rake,217.00393444366847,0.08761522054672241,0.008201178750688123,0.10477197170257568,0.43705599148989727,26479887.400150076
remote_control,187.85610919546815,0.07157187938690185,0.012708231951872314,0.08198815584182739,0.4097978085620355,24927809.767188102
rhinoceros,244.9839521349737,0.18834200620651245,0.009609795091192485,0.2987953722476959,0.371181661205955,25763608.89785991
